STUDENT IDENTIFIER,STDNT_AGE,STDNT_GENDER,STDNT_BACKGROUND,IN_STATE_FLAG,INTERNATIONAL_STS,STDNT_MAJOR,STDNT_MINOR,STDNT_TEST_ENTRANCE1,STDNT_TEST_ENTRANCE2,STDNT_TEST_ENTRANCE_COMB,FIRST_TERM,CORE_COURSE_NAME_1_F,CORE_COURSE_GRADE_1_F,CORE_COURSE_NAME_2_F,CORE_COURSE_GRADE_2_F,CORE_COURSE_NAME_3_F,CORE_COURSE_GRADE_3_F,CORE_COURSE_NAME_4_F,CORE_COURSE_GRADE_4_F,CORE_COURSE_NAME_5_F,CORE_COURSE_GRADE_5_F,CORE_COURSE_NAME_6_F,CORE_COURSE_GRADE_6_F,SECOND_TERM,CORE_COURSE_NAME_1_S,CORE_COURSE_GRADE_1_S,CORE_COURSE_NAME_2_S,CORE_COURSE_GRADE_2_S,CORE_COURSE_NAME_3_S,CORE_COURSE_GRADE_3_S,CORE_COURSE_NAME_4_S,CORE_COURSE_GRADE_4_S,CORE_COURSE_NAME_5_S,CORE_COURSE_GRADE_5_S,CORE_COURSE_NAME_6_S,CORE_COURSE_GRADE_6_S,HOUSING_STS,RETURNED_2ND_YR,DISTANCE_FROM_HOME,HIGH_SCHL_GPA,HIGH_SCHL_NAME,FATHER_HI_EDU_CD,FATHER_HI_EDU_DESC,MOTHER_HI_EDU_CD,MOTHER_HI_EDU_DESC,DEGREE_GROUP_CD,DEGREE_GROUP_DESC,FIRST_TERM_ATTEMPT_HRS,FIRST_TERM_EARNED_HRS,SECOND_TERM_ATTEMPT_HRS,SECOND_TERM_EARNED_HRS,GROSS_FIN_NEED,COST_OF_ATTEND,EST_FAM_CONTRIBUTION,UNMET_NEED
7844745,18,F,BGD 1,Y,N,Undeclared,N,,490,,200908,ENGL 1102,B,COMM 1110,A,HIST 2111,A,MATH 1113,A,,,,,201002,MATH 1131,B,CHEM 1211,A,CHEM 1211L,A,LEAD 1705,A,PSYC 1101,A,,,On Campus,1,90,3.25,SCHOOL 262,4,Other/Unknown,4,Other/Unknown,B,Bachelors,15,15,16,16," 6,96,120 "," 14,18,100 "," 7,21,980 "," 2,78,700 "
7759359,18,F,BGD 1,Y,N,Art,N,,1040,1030,200508,ENVS 1105,B,ARTH 1100,A,ENGL 1101,A,,,,,,,200602,POLS 1101,B,COMM 1110,A,ENGL 1102,A,,,,,,,On Campus,1,69,3.42,SCHOOL 25,2,High School,2,High School,B,Bachelors,15,15,15,15, -   , -   , -   , -   
7948195,18,F,BGD 1,Y,N,Marketing,N,,1020,1030,200508,ENVS 1105,B,COMM 1110,A,MATH 1111,A,POLS 1101,A,,,,,200602,ECON 2106,B,ENGL 1101,A,,,,,,,,,On Campus,1,69,3.73,SCHOOL 111,2,High School,2,High School,B,Bachelors,13,13,15,15, -   , -   , -   , -   
7917488,19,F,BGD 1,Y,N,Spanish,Art,23,,1070,200908,ENVS 1105I,B,ARTH 1100,A,COMM 1110,A,GEOG 1101I,A,HIST 1112I,A,,,201002,ENGL 1102,B,LEAD 1705,A,POLS 1101,A,,,,,,,On Campus,1,235,3.9,SCHOOL 20,3,College/Beyond,4,Other/Unknown,B,Bachelors,15,15,17,17," 12,89,880 "," 14,10,180 "," 1,20,300 "," 5,03,460 "
7788754,18,M,BGD 1,Y,N,Undeclared,N,,1120,1110,200908,HIST 1111,B,COMM 1110,A,ENGL 1101,A,STAT 1127,A,,,,,201002,POLS 1101,B,CHEM 1211,A,CHEM 1211L,A,ENGL 1102,A,MUSC 1100,A,SPAN 1001,A,Off Campus,0,69,3.93,SCHOOL 11,2,High School,3,College/Beyond,B,Bachelors,16,16,16,16," 9,02,220 "," 13,16,580 "," 4,14,360 "," 4,84,800 "
7894872,18,F,BGD 3,Y,N,Music Performance,N,23,,1070,201008,HIST 1112I,B,ITDS 2735,A,,,,,,,,,201102,MUSC 1100,B,FREN 1001,A,,,,,,,,,On Campus,1,69,3.03,SCHOOL 28,2,High School,3,College/Beyond,B,Bachelors,14,9,16,16, -   , -   , -   , -   
7912775,18,F,BGD 1,Y,N,Early Childhood Education,N,,920,910,200608,HIST 2111,B,COMM 1110,A,ENGL 1101,A,ITDS 2735,A,MATH 1101,A,,,200702,HIST 1111,B,ENGL 1102,A,ITDS 2727,A,PSYC 1101,A,,,,,On Campus,1,90,2.77,SCHOOL 33,4,Other/Unknown,3,College/Beyond,B,Bachelors,15,15,15,15, -   , -   , -   , -   
7805773,18,F,BGD 1,Y,N,Health Science,N,,960,950,200708,HIST 2111,B,ARTH 1100,A,ENGL 1101,A,,,,,,,200802,POLS 1101,B,ENGL 1102,A,ITDS 2726,A,,,,,,,Off Campus,1,69,3.25,SCHOOL 25,2,High School,2,High School,B,Bachelors,15,15,16,16," 11,67,840 "," 12,97,440 "," 1,29,600 "," 3,96,389 "
7919388,18,M,BGD 1,Y,N,Finance,N,,1030,1030,200708,HIST 2111,B,ENGL 1101,A,MATH 1111,A,,,,,,,200802,ECON 2106,B,COMM 1110,A,ITDS 2749,A,,,,,,,Off Campus,1,69,3.46,SCHOOL 10,1,Middle School/Junior High,2,High School,B,Bachelors,13,13,14,14, -   ," 3,26,880 ", -   ," -3,57,840 "
7794527,18,F,BGD 1,Y,N,General Business,N,,1100,1110,200708,HIST 2111,B,THEA 1100,A,,,,,,,,,200802,POLS 1101,B,COMM 1110,A,ENGL 1102,A,ITDS 2746,A,,,,,Off Campus,1,90,3.55,SCHOOL 263,,No Information,,No Information,B,Bachelors,13,13,14,14, -   , -   , -   , -   
7881085,18,M,BGD 6,N,N,Undeclared,N,,1160,1150,200808,HIST 2111,B,ENGL 1101,A,MATH 1113,A,,,,,,,200902,ENGL 1102,B,FREN 1001,A,ITDS 1155,A,STAT 1127,A,,,,,Off Campus,1,69,3.81,SCHOOL 10,,No Information,,No Information,B,Bachelors,14,14,15,15, -   ," 4,03,680 ", -   ," -3,47,580 "
7888239,18,F,BGD 1,Y,N,Marketing,N,,1250,1260,200808,HIST 2111,B,ARTH 1100,A,ECON 2106,A,ENGL 1102,A,MATH 1113,A,,,200902,HIST 2112,B,ECON 2105,A,,,,,,,,,Off Campus,0,0,3,SCHOOL 8,2,High School,2,High School,B,Bachelors,19,19,12,12, -   ," 1,08,960 ", -   ," -1,08,960 "
7758261,18,M,BGD 4,Y,N,Biology,N,22,1020,1030,200908,HIST 2111,B,ENGL 1101,A,FREN 1001,A,ITDS 1155,A,,,,,201002,BIOL 1215K,B,COMM 1110,A,ECON 2105,A,ENGL 1102,A,,,,,Off Campus,1,69,3.64,SCHOOL 11,2,High School,3,College/Beyond,B,Bachelors,14,14,13,13," 4,90,500 "," 13,24,500 "," 8,34,000 "," 73,080 "
7882163,18,M,BGD 7,Y,N,Theatre Arts,N,18,,870,201008,HIST 2111,B,ENGL 1101,A,,,,,,,,,201102,BIOL 1125,B,ITDS 2735,A,MATH 1101,A,,,,,,,On Campus,1,117,3.86,SCHOOL 486,3,College/Beyond,3,College/Beyond,B,Bachelors,17,13,15,15, -   , -   , -   , -   
7970444,19,F,BGD 1,Y,N,Theatre Education,Theatre Arts,,1070,1070,200708,HIST 2112,B,ENGL 1101,A,,,,,,,,,200802,THEA 1100,B,ENGL 1102,A,,,,,,,,,Off Campus,1,138,3.3,SCHOOL 315,2,High School,,No Information,B,Bachelors,13,13,13,13," 10,93,200 "," 12,97,440 "," 2,04,240 "," 7,66,320 "
7804680,18,F,BGD 1,Y,N,Theatre Arts,N,,1220,1220,200808,HIST 2112,B,THEA 1100,A,POLS 1101,A,,,,,,,200902,MATH 1111,B,ENGL 1102,A,SPAN 1001,A,,,,,,,Off Campus,1,69,3.37,SCHOOL 87,4,Other/Unknown,3,College/Beyond,B,Bachelors,16,16,16,16, -   , -   , -   , -   
7999031,18,F,BGD 3,Y,N,Pre-Nursing,Biology,,1150,1150,200808,ITDS 1155,B,CPSC 1105,A,CHEM 1151,A,CHEM 1151L,A,HIST 2111,A,,,200902,ENGL 1101,B,MATH 1125,A,THEA 1100,A,,,,,,,On Campus,1,0,3.81,SCHOOL 34,3,College/Beyond,4,Other/Unknown,B,Bachelors,13,13,13,13, -   , -   , -   , -   
7892974,17,F,BGD 1,Y,N,Undeclared,N,,1300,1300,200708,ITDS 2735,B,ANTH 1105,A,ENGL 1101,A,MATH 1113,A,,,,,200802,POLS 1101,B,ENGL 1102,A,FREN 1001,A,HIST 1111,A,,,,,On Campus,0,0,3.64,SCHOOL 135,4,Other/Unknown,3,College/Beyond,B,Bachelors,14,14,12,12, -   , -   , -   , -   
8013020,17,F,BGD 3,Y,N,Psychology,N,,1120,1110,200908,MATH 1101,B,ENGL 1101,A,HIST 2111,A,PSYC 1101,A,,,,,201002,CHEM 1151,B,CHEM 1151L,A,COMM 1110,A,ENGL 1102,A,STAT 1127,A,,,Off Campus,1,0,3.14,SCHOOL 130,3,College/Beyond,3,College/Beyond,B,Bachelors,15,15,15,15," 13,24,500 "," 13,24,500 ", -   , -   
7874204,18,F,BGD 1,Y,N,Early Childhood Education,N,,530,530,200508,MATH 1111,B,HIST 2111,A,LEAD 1705,A,THEA 1100,A,,,,,200602,ENVS 1105,B,ENGL 1101,A,ITDS 2735,A,POLS 1101,A,,,,,On Campus,1,90,3.57,SCHOOL 100,2,High School,3,College/Beyond,B,Bachelors,14,14,15,15, -   ," 11,46,420 "," 14,41,800 "," -5,58,180 "
7864921,18,F,BGD 2,Y,N,Undeclared,N,,840,830,200508,MATH 1111,B,HIST 2112,A,ITDS 2735,A,PSYC 1101,A,,,,,200602,ENGL 1101,B,ARTH 1100,A,MATH 1125,A,POLS 1101,A,,,,,Off Campus,1,0,3.86,SCHOOL 34,4,Other/Unknown,3,College/Beyond,B,Bachelors,14,14,14,14, -   , -   , -   , -   
8026886,18,M,BGD 3,N,N,Engineering Studies,N,,1030,1030,200608,MATH 1111,B,ENGL 1101,A,HIST 2112,A,,,,,,,200702,CPSC 1301,B,CPSC 1301L,A,POLS 1101,A,,,,,,,Off Campus,1,0,2.72,SCHOOL 34,3,College/Beyond,3,College/Beyond,B,Bachelors,15,15,14,11, -   , -   , -   , -   
7798797,17,F,BGD 1,Y,N,Early Childhood Education,N,,1080,1070,200708,MATH 1111,B,ARTH 1100,A,ENGL 1101,A,,,,,,,200802,ECON 2106,B,COMM 1110,A,ENGL 1102,A,HIST 2112,A,,,,,Off Campus,1,69,3.47,SCHOOL 2,2,High School,2,High School,B,Bachelors,13,9,15,15, -   , -   , -   , -   
7854910,18,F,BGD 1,Y,N,Early Childhood Education,History,,1140,1150,200708,MATH 1111,B,ARTH 1100,A,ENGL 1101,A,LEAD 1705,A,,,,,200802,ECON 2106,B,ENGL 1102,A,HIST 2111,A,POLS 1101,A,,,,,Off Campus,1,69,3.74,SCHOOL 130,2,High School,3,College/Beyond,B,Bachelors,16,16,17,17," 5,21,040 "," 11,89,920 "," 6,68,880 "," 20,160 "
7939615,18,M,BGD 1,Y,N,Chemistry,N,,1300,1300,200508,MATH 1113,B,CHEM 1211,A,CHEM 1211L,A,COMM 1110,A,HIST 2112,A,,,200602,MATH 1131,B,ENGL 1102,A,POLS 1101,A,,,,,,,Off Campus,1,69,3.81,SCHOOL 1,3,College/Beyond,3,College/Beyond,B,Bachelors,16,16,14,14, -   , -   , -   , -   
7902451,18,M,BGD 1,Y,N,Undeclared,N,,1000,990,200808,MATH 1113,B,POLS 1101,A,,,,,,,,,200902,ENGL 1101,B,ARTH 1100,A,ECON 2106,A,,,,,,,Off Campus,0,69,3.81,SCHOOL 153,,No Information,,No Information,B,Bachelors,16,16,14,14, -   , -   , -   , -   
7793553,18,M,BGD 1,Y,N,Mathematics and Secondary Ed,N,,1110,1110,200508,MUSC 1100,B,ENGL 1101,A,MATH 1113,A,,,,,,,200602,PSYC 1101,B,COMM 1110,A,ENGL 1102,A,MATH 1131,A,,,,,Off Campus,1,90,3.87,SCHOOL 52,3,College/Beyond,3,College/Beyond,B,Bachelors,15,15,15,14, -   , -   , -   , -   
7949855,18,M,BGD 3,Y,N,Psychology,N,,920,910,200608,MUSC 1100,B,ENGL 1101,A,HIST 2112,A,,,,,,,200702,PSYC 1101,B,ENGL 1102,A,,,,,,,,,On Campus,1,69,3.57,SCHOOL 234,2,High School,2,High School,B,Bachelors,12,12,14,10," 11,76,420 "," 11,76,420 ", -   ," 1,73,760 "
7998057,18,F,BGD 1,Y,N,Accounting,N,,1160,1150,200608,POLS 1101,B,ANTH 1105,A,ENGL 1102,A,,,,,,,200702,HIST 2111,B,COMM 1110,A,ITDS 2735,A,MATH 1113,A,,,,,Off Campus,0,0,3.93,SCHOOL 130,3,College/Beyond,3,College/Beyond,B,Bachelors,14,14,13,13, -   , -   , -   , -   
7902933,18,F,BGD 1,Y,N,Pre-Business,N,21,,990,200908,POLS 1101,B,ENGL 1101,A,,,,,,,,,201002,ENGL 1102,B,COMM 1110,A,MATH 1111,A,SOCI 1101,A,,,,,On Campus,1,150,3.46,SCHOOL 38,3,College/Beyond,2,High School,B,Bachelors,13,9,12,12," 5,26,740 "," 14,18,100 "," 8,91,360 "," 1,09,320 "
7877207,18,M,BGD 1,Y,N,Music Education,N,,560,590,200908,POLS 1101H,B,ITDS 2735,A,PHYS 1125,A,PHYS 1325,A,,,,,201002,ENGL 1101,B,MUSC 1100,A,,,,,,,,,On Campus,1,150,3.93,SCHOOL 273,2,High School,2,High School,B,Bachelors,15,15,18,18," 7,98,960 "," 14,18,100 "," 6,19,140 "," 2,22,300 "
7763963,18,F,BGD 1,Y,N,Psychology,N,,1140,1150,200508,PSYC 1101,B,ENGL 1101,A,MATH 1111,A,,,,,,,200602,POLS 1101,B,COMM 1110,A,ENGL 1102,A,HIST 1112,A,,,,,On Campus,0,90,3.64,SCHOOL 137,4,Other/Unknown,2,High School,B,Bachelors,13,13,17,17, -   , -   , -   , -   
7873980,17,F,BGD 4,Y,N,Psychology,Early Childhood Education,27,1350,1220,200608,PSYC 1101,B,LEAD 1705,A,,,,,,,,,200702,COMM 1110H,B,POLS 1101,A,,,,,,,,,On Campus,1,69,3.53,SCHOOL 3,2,High School,2,High School,B,Bachelors,15,12,17,14, -   , -   , -   , -   
7942260,18,F,BGD 1,Y,N,Undeclared,N,20,,950,200708,PSYC 1101,B,ENGL 1101,A,HIST 2111,A,MATH 1111,A,,,,,200802,CHEM 1151L,B,ARTH 1100,A,CHEM 1151,A,COMM 1110,A,ENGL 1102,A,,,On Campus,1,138,3.33,SCHOOL 79,2,High School,2,High School,B,Bachelors,16,15,14,14, -   , -   , -   , -   
8002068,18,F,BGD 1,Y,N,Music Performance,N,27,1330,1220,200808,PSYC 1101,B,COMM 1110,A,HIST 1112,A,,,,,,,200902,HIST 2111,B,ENGL 1102,A,POLS 1101,A,,,,,,,Off Campus,0,138,3.34,SCHOOL 179,3,College/Beyond,2,High School,B,Bachelors,16,15,17,17," 6,66,900 "," 9,45,840 "," 2,78,940 "," 2,91,900 "
7858205,18,F,BGD 1,Y,N,Early Childhood Education,N,,1000,990,201008,PSYC 1101,B,HIST 1111,A,HIST 2111,A,ITDS 2749,A,,,,,201102,POLS 1101,B,CPSC 1105,A,COMM 1110,A,MATH 1111,A,MUSC 1100,A,,,Off Campus,1,69,3.9,SCHOOL 27,2,High School,2,High School,B,Bachelors,16,12,18,18, -   , -   , -   , -   
7963035,18,F,BGD 1,Y,N,Pre-Nursing,Chemistry,19,,910,201008,PSYC 1101,B,CHEM 1151,A,CHEM 1151L,A,HIST 2111,A,MATH 1101,A,,,201102,COMM 1110,B,STAT 1127,A,POLS 1101,A,,,,,,,Off Campus,1,90,3.37,SCHOOL 428,3,College/Beyond,3,College/Beyond,B,Bachelors,13,13,13,13, -   , -   , -   , -   
7998663,18,F,BGD 1,N,N,Pre-Nursing,N,20,,950,201008,PSYC 1101,B,CHEM 1151,A,CHEM 1151L,A,ENGL 1101,A,ITDS 1145,A,MATH 1111,A,201102,COMM 1110,B,STAT 1127,A,POLS 1101,A,,,,,,,Off Campus,1,0,3,SCHOOL 8,3,College/Beyond,3,College/Beyond,B,Bachelors,16,16,13,13, -   , -   , -   , -   
7952307,18,M,BGD 1,Y,N,Exercise Science,N,,1140,1150,200908,SOCI 1101,B,COMM 1110,A,ENGL 1101,A,HIST 1111,A,,,,,201002,STAT 1127,B,CHEM 1211,A,CHEM 1211L,A,ENGL 1102,A,MUSC 1100,A,SPAN 1001,A,Off Campus,0,69,3.73,SCHOOL 11,3,College/Beyond,3,College/Beyond,B,Bachelors,15,15,16,16, -   ," 4,51,620 ", -   ," -4,36,140 "
7934705,18,F,BGD 1,Y,N,Music Education,N,,930,910,201008,SOCI 1101,B,HIST 2111,A,,,,,,,,,201102,COMM 1110,B,ITDS 2735,A,MUSC 1100,A,PHYS 1125,A,,,,,On Campus,1,138,3.75,SCHOOL 452,,No Information,,No Information,B,Bachelors,12,12,20,20, -   , -   , -   , -   
7912946,18,M,BGD 6,Y,N,Music Education,N,,990,990,200608,SPAN 1001,B,ENGL 1101,A,,,,,,,,,200702,ENGL 1102,B,COMM 1110,A,MUSC 1100,A,,,,,,,Off Campus,1,0,3.2,SCHOOL 44,3,College/Beyond,3,College/Beyond,B,Bachelors,15,15,17,17," 11,65,920 "," 11,76,420 "," 10,500 "," 3,80,760 "
7885794,18,F,BGD 1,Y,N,Undeclared,N,,920,910,200608,SPAN 1001,B,ENGL 1101,A,PSYC 1101,A,POLS 1101,A,,,,,200702,HIST 2112,B,COMM 1110,A,,,,,,,,,Off Campus,1,69,3.6,SCHOOL 11,3,College/Beyond,3,College/Beyond,B,Bachelors,12,12,13,9, -   , -   , -   , -   
7943812,18,F,BGD 1,Y,N,Theatre Arts,N,,580,590,201008,THEA 1100,B,ENGL 1101,A,,,,,,,,,201102,HIST 2111,B,ITDS 2735,A,,,,,,,,,On Campus,1,150,3.2,SCHOOL 152,2,High School,2,High School,B,Bachelors,16,16,12,12, -   , -   , -   , -   
8001780,18,M,BGD 1,Y,N,Engineering Studies,N,25,1090,1150,201008,THEA 1100,B,ENGL 1101,A,MATH 1111,A,,,,,,,201102,ECON 2106,B,ENGL 1102,A,HIST 2111,A,MATH 1113,A,,,,,Off Campus,1,69,3.86,SCHOOL 11,3,College/Beyond,3,College/Beyond,B,Bachelors,12,12,15,15, -   , -   , -   , -   
7920715,18,F,BGD 1,Y,N,Music Education,N,,540,530,200608,COMM 1110,C,ENGL 1101,A,,,,,,,,,200702,ENGL 1102,B,MUSC 1100,A,,,,,,,,,Off Campus,1,150,3.14,SCHOOL 74,2,High School,2,High School,B,Bachelors,13,13,13,13, -   , -   , -   , -   
7856917,18,F,BGD 1,N,N,Theatre Arts,N,,1100,1110,200608,ENGL 1101,C,THEA 1100,A,,,,,,,,,200702,ITDS 2735,B,ENGL 1102,A,,,,,,,,,Off Campus,1,190,3.47,SCHOOL 66,2,High School,3,College/Beyond,B,Bachelors,15,15,15,15, -   , -   , -   , -   
8013022,18,F,BGD 1,Y,N,Theatre Arts,N,,1000,990,201008,FREN 1001,C,ENGL 1101,A,,,,,,,,,201102,ENGL 1102,B,SOCI 1101,A,THEA 1100,A,,,,,,,Off Campus,0,69,3,SCHOOL 11,3,College/Beyond,3,College/Beyond,B,Bachelors,15,11,20,20, -   , -   , -   , -   
7794749,18,F,BGD 1,Y,N,Pre-Business,History,,930,910,200908,HIST 1111,C,ENGL 1101,A,HIST 2111,A,,,,,,,201002,POLS 1101,B,ECON 2105,A,ENGL 1102,A,,,,,,,Off Campus,1,69,3.28,SCHOOL 27,3,College/Beyond,3,College/Beyond,B,Bachelors,13,9,12,12, -   ," 4,51,620 ", -   ," -4,17,420 "
7830588,18,M,BGD 3,Y,N,Music Performance,N,,1120,1110,201008,HIST 1112I,C,ENGL 1101,A,ITDS 2735,A,MATH 1101,A,,,,,201102,ENGL 1102,B,MUSC 1100,A,,,,,,,,,On Campus,1,181,2.87,SCHOOL 115,2,High School,3,College/Beyond,B,Bachelors,14,14,15,15, -   , -   , -   , -   
7970195,18,M,BGD 1,Y,N,Criminal Justice,N,,1030,1030,200708,HIST 2111,C,ENGL 1101,A,MATH 1101,A,,,,,,,200802,PSYC 1101,B,ENGL 1102,A,,,,,,,,,Off Campus,1,0,3.13,SCHOOL 22,2,High School,,No Information,B,Bachelors,12,12,15,15, -   ," 12,85,860 "," 14,63,520 "," -3,26,880 "
7976537,18,M,BGD 4,Y,N,Music Education,N,21,940,990,200708,HIST 2111,C,ENGL 1101,A,,,,,,,,,200802,MUSC 1100,B,ENGL 1102,A,,,,,,,,,Off Campus,1,90,3.3,SCHOOL 262,3,College/Beyond,3,College/Beyond,B,Bachelors,13,13,17,17," 5,74,380 "," 12,45,480 "," 6,71,100 "," 1,87,500 "
7947915,19,M,BGD 1,Y,N,Computer Science - Systems,N,,1160,1150,200508,MATH 1111,C,ENGL 1101,A,HIST 2111,A,,,,,,,200602,POLS 1101,B,CPSC 1301,A,,,,,,,,,Off Campus,1,69,3.63,SCHOOL 10,2,High School,1,Middle School/Junior High,B,Bachelors,12,12,11,11, -   ," 3,36,960 ", -   ," -2,88,180 "
7793924,18,F,BGD 1,Y,N,French with Teacher Cert,N,,940,950,200508,MATH 1111,C,ARTH 1100,A,ENGL 1101,A,FREN 2001,A,,,,,200602,HIST 2112,B,ENGL 1102,A,FREN 2002,A,ITDS 2726,A,ITDS 2735,A,PSYC 1101,A,Off Campus,1,69,3.27,SCHOOL 130,,No Information,,No Information,B,Bachelors,12,12,14,14, -   , -   , -   , -   
7965676,19,M,BGD 1,Y,N,Music Education,N,,1170,1190,200608,MATH 1111,C,COMM 1110,A,ENGL 1101,A,,,,,,,200702,POLS 1101,B,ENGL 1102,A,MUSC 1100,A,,,,,,,Off Campus,1,150,3.23,SCHOOL 55,2,High School,2,High School,B,Bachelors,15,15,16,16, -   , -   , -   , -   
7908955,19,M,BGD 1,Y,N,Accounting,N,22,910,1030,200608,MATH 1111,C,HIST 2112,A,POLS 1101,A,,,,,,,200702,ENGL 1101,B,ECON 2106,A,,,,,,,,,On Campus,1,69,2.79,SCHOOL 141,3,College/Beyond,2,High School,B,Bachelors,15,15,15,15, -   ," 11,76,420 "," 23,59,020 "," -2,99,160 "
7929708,18,F,BGD 1,Y,N,Music Education,N,,610,590,200508,MATH 1113,C,ENGL 1101,A,,,,,,,,,200602,COMM 1110,B,ENGL 1102,A,,,,,,,,,Off Campus,1,235,4,SCHOOL 20,3,College/Beyond,3,College/Beyond,B,Bachelors,15,15,17,17, -   , -   , -   , -   
8030044,18,M,BGD 1,Y,N,Computer Science - Games,N,27,,1220,200808,MATH 1113,C,CPSC 1301,A,CPSC 1301L,A,ENGL 1101,A,,,,,200902,ARTH 1100,B,ASTR 1105,A,ENGL 1102,A,POLS 1101,A,,,,,Off Campus,1,69,3.37,SCHOOL 2,,No Information,,No Information,B,Bachelors,13,13,15,15, -   , -   , -   , -   
7838786,18,F,BGD 3,Y,N,French with Teacher Cert,N,,1230,1220,200608,POLS 1101,C,ARTH 1100,A,COMM 1110,A,FREN 1001,A,,,,,200702,FREN 1002,B,ENGL 1102,A,,,,,,,,,Off Campus,1,0,3.69,SCHOOL 1,,No Information,,No Information,B,Bachelors,16,16,16,13, -   , -   , -   , -   
7915259,18,F,BGD 6,Y,N,Art,N,,1050,1070,200508,COMM 1110,INCOMPL,MATH 1111,A,,,,,,,,,200602,ENGL 1101,B,PSYC 1101,A,,,,,,,,,Off Campus,1,0,3.81,SCHOOL 1,3,College/Beyond,3,College/Beyond,B,Bachelors,13,13,12,12," 3,89,220 "," 11,51,640 "," 7,62,420 "," 71,040 "
7912550,18,F,BGD 1,Y,N,General Studies/AS,N,,,,200608,ANTH 1105,NOT REP,COMM 1110,A,ENGL 1101,A,ITDS 2735,A,MATH 1111,A,,,200702,ENGL 1102,B,ECON 2105,A,,,,,,,,,Off Campus,1,69,4,SCHOOL 11,,No Information,3,College/Beyond,A,Associate,14,14,16,16," 9,83,220 "," 11,71,380 "," 1,88,160 "," 5,79,060 "
7882957,17,M,BGD 6,Y,N,Engineering Studies,N,,1300,1300,200708,ENGL 1101,NOT REP,CPSC 1301,A,CPSC 1301L,A,HIST 2111,A,,,,,200802,MATH 1131,B,ECON 2106,A,MUSC 1100,A,POLS 1101,A,,,,,Off Campus,1,59,4,SCHOOL 48,4,Other/Unknown,1,Middle School/Junior High,B,Bachelors,13,13,13,13, -   , -   , -   , -   
8011093,18,F,BGD 1,Y,N,Biology,N,,960,950,201008,ANTH 1105,B,COMM 1110,B,ENGL 1101,B,,,,,,,201102,ITDS 2735,B,ENGL 1102,A,MUSC 1100,A,,,,,,,Off Campus,1,69,3.53,SCHOOL 10,4,Other/Unknown,4,Other/Unknown,B,Bachelors,12,12,12,8, -   , -   , -   , -   
7954299,18,F,BGD 1,Y,N,Mathematics and Secondary Ed,N,,1080,1070,200508,ARTH 1100,B,HIST 2112,B,ENGL 1101,A,ITDS 2735,A,,,,,200602,ENGL 1102,B,MATH 1111,A,,,,,,,,,Off Campus,1,69,3.25,SCHOOL 2,3,College/Beyond,3,College/Beyond,B,Bachelors,13,13,12,12, -   , -   , -   , -   
7846568,18,F,BGD 1,Y,N,Exercise Science,N,,940,950,200608,ARTH 1100,B,COMM 1110,B,ENGL 1101,A,POLS 1101,A,,,,,200702,HIST 2111,B,ENGL 1102,A,PSYC 1101,A,,,,,,,Off Campus,1,90,3.56,SCHOOL 22,3,College/Beyond,3,College/Beyond,B,Bachelors,12,12,15,11," 8,27,940 "," 15,04,980 "," 6,77,040 "," 3,71,280 "
7927714,18,F,BGD 1,Y,N,Early Childhood Education,N,,990,990,200708,ARTH 1100,B,ECON 2106,B,ENGL 1101,A,,,,,,,200802,HIST 2112,B,ENGL 1102,A,ITDS 2735,A,MATH 1101,A,,,,,Off Campus,1,69,3,SCHOOL 130,3,College/Beyond,3,College/Beyond,B,Bachelors,15,15,14,14," 1,73,400 "," 11,89,920 "," 10,16,520 "," -1,53,480 "
7904354,18,F,BGD 2,Y,N,Marketing,N,,1050,1070,200708,ARTH 1100,B,ENGL 1101,B,POLS 1101,B,COMM 1110,A,,,,,200802,ENGL 1102,B,HIST 2111,A,,,,,,,,,Off Campus,1,69,3.4,SCHOOL 130,,No Information,,No Information,B,Bachelors,17,17,14,10, -   , -   , -   , -   
7772712,18,F,BGD 1,Y,N,Psychology,N,20,1040,950,200808,ARTH 1100,B,ENGL 1101,B,MATH 1111,B,PSYC 1101,B,SPAN 1001,A,,,200902,SPAN 1002,B,COMM 1110,A,ENGL 1102,A,HIST 2112,A,,,,,Off Campus,1,0,2.64,SCHOOL 8,,No Information,,No Information,B,Bachelors,15,15,15,15, -   , -   , -   , -   
7935857,18,F,BGD 3,Y,N,Chemistry,N,21,,990,200808,ARTH 1100,B,CHEM 1211,B,SPAN 1001,B,CHEM 1211L,A,MATH 1111,A,,,200902,SPAN 1002,B,ENGL 1102,A,MATH 1113,A,,,,,,,On Campus,1,59,3,SCHOOL 327,2,High School,2,High School,B,Bachelors,13,13,16,16," 13,06,020 "," 13,06,020 ", -   ," 4,07,580 "
8029013,18,M,BGD 1,Y,N,Management,N,,1080,1070,200808,ARTH 1100,B,ECON 2106,B,ENGL 1101,B,HIST 2112,B,STAT 1127,B,,,200902,MATH 1132,B,ECON 2105,A,ENGL 1102,A,,,,,,,Off Campus,1,0,3.23,SCHOOL 24,3,College/Beyond,2,High School,B,Bachelors,15,15,16,16," 88,920 "," 13,46,640 "," 12,57,720 "," -2,58,660 "
